REG_NO_good,BSSH_NM,is_good_restaurant,REG_NO_safe,RPRSNTV_NM,INDUTY,INDUTY_DETAIL,DSGN_YMD,is_safe_restaurant,ADRES,TELNO,base_score,combined_text,CLEAN_ADRES,latitude,longitude
,가츠라,0,149,최은실,일반음식점,일식,1.63777E+12,1,경상북도 영주시 영주로 177,054-638-3207,10,가츠라 경상북도 영주시 영주로 177 일식,경상북도 영주시 영주로 177,36.824815,128.6158266
,가화한정식당,0,170,이옥순,일반음식점,한식,1.61893E+12,1,경상북도 영주시 시청로 30,054-634-1075,10,가화한정식당 경상북도 영주시 시청로 30 한식,경상북도 영주시 시청로 30,36.8088568,128.6244859
,갓포,0,136,김성희,일반음식점,일식,1.65289E+12,1,경상북도 영주시 대학로 245,054-635-3005,10,갓포 경상북도 영주시 대학로 245 일식,경상북도 영주시 대학로 245,36.8187464,128.6046765
,개성집,0,76,권영철,일반음식점,한식,1.65582E+12,1,경상북도 영주시 대동로 82,-,10,개성집 경상북도 영주시 대동로 82 한식,경상북도 영주시 대동로 82,36.8148695,128.6096345
1,계림상황삼계탕,1,225,이석경,일반음식점,한식,1.58489E+12,1,경상북도 영주시 대학로 5-1 ,054-638-1080,110,계림상황삼계탕 경상북도 영주시 대학로 5-1  한식,경상북도 영주시 대학로 5-1,36.8263066,128.6049243
,고조선감저,0,28,전효우,일반음식점,한식,1.65582E+12,1,경상북도 영주시 대동로 159-1,054-631-4545,10,고조선감저 경상북도 영주시 대동로 159-1 한식,경상북도 영주시 대동로 159-1,36.815384,128.6256528
,고향손칼국수,0,24,박영순,일반음식점,한식,1.65582E+12,1,경상북도 영주시 선비로 75,054-633-9379,10,고향손칼국수 경상북도 영주시 선비로 75 한식,경상북도 영주시 선비로 75,36.8146002,128.6225686
,골목한우,0,148,심희섭,일반음식점,한식,1.63777E+12,1,경상북도 영주시 대학로240번길 16-12,054-634-6600,10,골목한우 경상북도 영주시 대학로240번길 16-12 한식,경상북도 영주시 대학로240번길 16-12,36.8168755,128.6055673
,광명갈비,0,53,최종찬,일반음식점,한식,1.65582E+12,1,경상북도 영주시 풍기읍 풍기로 71-10,054-636-6543,10,광명갈비 경상북도 영주시 풍기읍 풍기로 71-10 한식,경상북도 영주시 풍기읍 풍기로 71-10,36.8710244,128.5256503
,교동면옥영주가흥점,0,104,정윤서 외 1명,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대동로31번길 25-9,054-635-0017,10,교동면옥영주가흥점 경상북도 영주시 대동로31번길 25-9 한식,경상북도 영주시 대동로31번길 25-9,36.81728375,128.6050866
